"bin","behav","prop","var"
1,"Slow-Unif",0.970370633292171,"Speed"
2,"Slow-Unif",0.0199845356211265,"Speed"
3,"Slow-Unif",0.00034394443937798,"Speed"
4,"Slow-Unif",0.00178960560634696,"Speed"
5,"Slow-Unif",0.00195079918496107,"Speed"
6,"Slow-Unif",0.000765872724078745,"Speed"
7,"Slow-Unif",0.00479460913193749,"Speed"
1,"Exploratory",0.221946252046011,"Speed"
2,"Exploratory",0.629507699333629,"Speed"
3,"Exploratory",0.118773839985271,"Speed"
4,"Exploratory",0.0249922723917777,"Speed"
5,"Exploratory",0.00264782926059397,"Speed"
6,"Exploratory",0.00101852794309591,"Speed"
7,"Exploratory",0.00111357903962144,"Speed"
1,"Slow-Turn",0.690871417203831,"Speed"
2,"Slow-Turn",0.140149896141972,"Speed"
3,"Slow-Turn",0.0620283208673932,"Speed"
4,"Slow-Turn",0.0323219531732969,"Speed"
5,"Slow-Turn",0.0267489950567266,"Speed"
6,"Slow-Turn",0.0132715695135838,"Speed"
7,"Slow-Turn",0.0346078480431958,"Speed"
1,"Transit",0.00477474052300832,"Speed"
2,"Transit",0.0117399275180142,"Speed"
3,"Transit",0.570302278657292,"Speed"
4,"Transit",0.284944730012947,"Speed"
5,"Transit",0.0982291535816205,"Speed"
6,"Transit",0.0257505370110677,"Speed"
7,"Transit",0.00425863269605077,"Speed"
1,"Slow-Unif",0.00533845410494471,"Turning Angle"
2,"Slow-Unif",0.0797870598136867,"Turning Angle"
3,"Slow-Unif",0.121517567370795,"Turning Angle"
4,"Slow-Unif",0.142934660861364,"Turning Angle"
5,"Slow-Unif",0.153803720027956,"Turning Angle"
6,"Slow-Unif",0.150501475694708,"Turning Angle"
7,"Slow-Unif",0.134259118044006,"Turning Angle"
8,"Slow-Unif",0.124056840775723,"Turning Angle"
9,"Slow-Unif",0.0859058438425096,"Turning Angle"
10,"Slow-Unif",0.00189525946430776,"Turning Angle"
1,"Exploratory",0.0272923440973229,"Turning Angle"
2,"Exploratory",0.0539088914389395,"Turning Angle"
3,"Exploratory",0.0893317869964676,"Turning Angle"
4,"Exploratory",0.128982385799713,"Turning Angle"
5,"Exploratory",0.187235572692982,"Turning Angle"
6,"Exploratory",0.173576699151826,"Turning Angle"
7,"Exploratory",0.149837980750045,"Turning Angle"
8,"Exploratory",0.0952141116990332,"Turning Angle"
9,"Exploratory",0.0621426635578436,"Turning Angle"
10,"Exploratory",0.0324775638158275,"Turning Angle"
1,"Slow-Turn",0.386717261652083,"Turning Angle"
2,"Slow-Turn",0.115055054600077,"Turning Angle"
3,"Slow-Turn",0.00148852503599476,"Turning Angle"
4,"Slow-Turn",0.00580387811611832,"Turning Angle"
5,"Slow-Turn",0.00461109573353245,"Turning Angle"
6,"Slow-Turn",0.0163651959710899,"Turning Angle"
7,"Slow-Turn",0.00965220180792263,"Turning Angle"
8,"Slow-Turn",0.00858945700496084,"Turning Angle"
9,"Slow-Turn",0.0836665425122307,"Turning Angle"
10,"Slow-Turn",0.36805078756599,"Turning Angle"
1,"Transit",0.0366522351020123,"Turning Angle"
2,"Transit",0.0310347145669437,"Turning Angle"
3,"Transit",0.0298055841302838,"Turning Angle"
4,"Transit",0.0994357656888213,"Turning Angle"
5,"Transit",0.227659108493069,"Turning Angle"
6,"Transit",0.342979475221336,"Turning Angle"
7,"Transit",0.125281743197114,"Turning Angle"
8,"Transit",0.060565293558161,"Turning Angle"
9,"Transit",0.0265303178023908,"Turning Angle"
10,"Transit",0.0200557622398676,"Turning Angle"
1,"Slow-Unif",0.143350612826,"Activity Counts"
2,"Slow-Unif",0.265929149494811,"Activity Counts"
3,"Slow-Unif",0.335700319116158,"Activity Counts"
4,"Slow-Unif",0.219268561844958,"Activity Counts"
5,"Slow-Unif",0.0344407026634848,"Activity Counts"
6,"Slow-Unif",0.00131065405458819,"Activity Counts"
1,"Exploratory",0.00159993198366176,"Activity Counts"
2,"Exploratory",0.0270902510450243,"Activity Counts"
3,"Exploratory",0.106098719352221,"Activity Counts"
4,"Exploratory",0.309654349753351,"Activity Counts"
5,"Exploratory",0.48726216850038,"Activity Counts"
6,"Exploratory",0.0682945793653614,"Activity Counts"
1,"Slow-Turn",0.203428848251189,"Activity Counts"
2,"Slow-Turn",0.232502326488241,"Activity Counts"
3,"Slow-Turn",0.316317867489515,"Activity Counts"
4,"Slow-Turn",0.181344316725036,"Activity Counts"
5,"Slow-Turn",0.0620994433031377,"Activity Counts"
6,"Slow-Turn",0.00430719774288046,"Activity Counts"
1,"Transit",0.00228349832187188,"Activity Counts"
2,"Transit",0.00964468231033682,"Activity Counts"
3,"Transit",0.00117410385529264,"Activity Counts"
4,"Transit",0.00625893986774207,"Activity Counts"
5,"Transit",0.235221947600684,"Activity Counts"
6,"Transit",0.745416828044073,"Activity Counts"
